"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","15.32","15.61","15.84","14.93","6.59M","0.86%"
"Mar 03, 2020","15.19","15.77","16.09","14.86","10.10M","-3.86%"
"Mar 02, 2020","15.80","16.10","16.10","15.25","7.94M","-0.19%"
"Feb 28, 2020","15.83","14.37","15.96","14.29","12.73M","4.70%"
"Feb 27, 2020","15.12","14.69","15.70","14.32","11.42M","-1.18%"
"Feb 26, 2020","15.30","15.68","15.79","15.14","16.23M","-1.92%"
"Feb 25, 2020","15.60","16.52","16.77","15.15","10.77M","-5.28%"
"Feb 24, 2020","16.47","17.21","17.30","16.47","7.10M","-8.25%"
"Feb 21, 2020","17.95","18.24","18.31","17.86","5.28M","-3.23%"
"Feb 20, 2020","18.55","19.09","19.12","18.52","6.52M","-1.96%"
"Feb 19, 2020","18.92","19.17","19.17","18.73","6.10M","-0.26%"
"Feb 18, 2020","18.97","18.95","19.11","18.52","6.34M","-0.99%"
"Feb 14, 2020","19.16","19.69","19.71","19.08","5.94M","-2.24%"
"Feb 13, 2020","19.60","19.58","20.18","19.31","10.85M","0.56%"
"Feb 12, 2020","19.49","19.75","20.37","18.90","13.65M","-2.06%"
"Feb 11, 2020","19.90","20.07","20.32","19.87","7.11M","1.02%"
"Feb 10, 2020","19.70","19.80","19.97","19.43","4.50M","-1.75%"
"Feb 07, 2020","20.05","20.35","20.52","20.00","5.88M","-3.28%"
"Feb 06, 2020","20.73","21.34","21.39","20.73","5.54M","-2.72%"
"Feb 05, 2020","21.31","20.42","21.39","20.34","5.62M","7.14%"
"Feb 04, 2020","19.89","20.11","20.34","19.82","4.74M","0.81%"
"Feb 03, 2020","19.73","19.82","19.96","19.51","4.62M","-0.20%"
"Jan 31, 2020","19.77","20.00","20.11","19.66","7.39M","-2.61%"
"Jan 30, 2020","20.30","20.32","20.55","19.90","6.61M","-1.46%"
"Jan 29, 2020","20.60","21.02","21.22","20.52","4.61M","-1.72%"
"Jan 28, 2020","20.96","21.19","21.19","20.86","4.94M","0.05%"
"Jan 27, 2020","20.95","21.14","21.32","20.85","4.27M","-3.32%"
"Jan 24, 2020","21.67","22.09","22.09","21.32","3.67M","-3.04%"
"Jan 23, 2020","22.35","22.06","22.40","21.71","4.29M","0.22%"
"Jan 22, 2020","22.30","22.65","22.72","22.05","4.77M","-2.53%"
"Jan 21, 2020","22.88","23.35","23.46","22.86","4.91M","-2.35%"
"Jan 17, 2020","23.43","23.61","23.66","23.26","3.72M","-0.47%"
"Jan 16, 2020","23.54","22.83","23.77","22.79","5.66M","3.43%"
"Jan 15, 2020","22.76","22.51","23.00","22.39","3.82M","0.49%"
"Jan 14, 2020","22.65","22.39","22.72","22.19","4.20M","1.75%"
