"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 08, 2020","57.57","57.03","57.92","56.92","1.19M","1.05%"
"Jan 07, 2020","56.97","56.55","57.27","56.48","1.63M","0.30%"
"Jan 06, 2020","56.80","57.08","57.27","56.52","2.30M","-1.39%"
"Jan 03, 2020","57.60","57.74","58.22","57.25","1.61M","-2.09%"
"Jan 02, 2020","58.83","58.79","59.10","58.15","978.30K","0.72%"
"Dec 31, 2019","58.41","58.50","58.65","58.28","940.59K","-0.31%"
"Dec 30, 2019","58.59","59.10","59.11","58.25","609.67K","-0.88%"
"Dec 27, 2019","59.11","59.20","59.34","58.81","842.56K","0.00%"
"Dec 26, 2019","59.11","58.48","59.13","58.10","909.38K","1.25%"
"Dec 24, 2019","58.38","58.57","58.57","58.04","497.08K","-0.22%"
"Dec 23, 2019","58.51","57.52","58.53","57.36","1.97M","1.65%"
"Dec 20, 2019","57.56","56.03","57.98","56.00","2.98M","4.01%"
"Dec 19, 2019","55.34","54.79","55.74","54.78","2.07M","0.93%"
"Dec 18, 2019","54.83","55.32","55.32","54.59","1.59M","-0.80%"
"Dec 17, 2019","55.27","55.24","55.48","54.80","1.47M","0.09%"
"Dec 16, 2019","55.22","56.36","56.36","55.19","1.47M","-1.00%"
"Dec 13, 2019","55.78","56.26","56.72","55.65","1.06M","-0.62%"
"Dec 12, 2019","56.13","55.45","56.26","55.21","1.40M","1.30%"
"Dec 11, 2019","55.41","55.00","55.67","54.90","1.25M","1.15%"
"Dec 10, 2019","54.78","54.79","54.86","54.35","906.81K","-0.15%"
"Dec 09, 2019","54.86","54.75","54.99","54.53","820.18K","0.27%"
"Dec 06, 2019","54.71","54.76","55.18","54.50","1.31M","0.85%"
"Dec 05, 2019","54.25","53.97","54.39","53.88","1.16M","1.19%"
"Dec 04, 2019","53.61","52.86","53.81","52.86","1.26M","1.42%"
"Dec 03, 2019","52.86","52.34","52.99","52.10","1.70M","-0.55%"
"Dec 02, 2019","53.15","53.70","53.97","52.98","1.20M","-0.91%"
