"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 23, 2019","59.45","60.00","60.15","59.18","868.49K","-0.93%"
"Dec 20, 2019","60.01","60.66","60.81","60.00","2.34M","-0.20%"
"Dec 19, 2019","60.13","60.77","60.77","59.98","3.51M","-0.92%"
"Dec 18, 2019","60.69","61.20","61.51","60.68","1.06M","-0.52%"
"Dec 17, 2019","61.01","60.26","61.20","60.23","1.31M","0.98%"
"Dec 16, 2019","60.42","60.47","60.84","60.09","1.42M","1.16%"
"Dec 13, 2019","59.73","60.51","61.03","59.48","1.22M","-0.70%"
"Dec 12, 2019","60.15","58.00","60.32","57.74","1.40M","4.23%"
"Dec 11, 2019","57.71","57.81","58.10","57.49","1.12M","-0.29%"
"Dec 10, 2019","57.88","57.65","58.22","57.55","1.02M","-0.07%"
"Dec 09, 2019","57.92","57.52","58.07","57.27","837.26K","0.26%"
"Dec 06, 2019","57.77","57.83","58.38","57.56","1.01M","1.78%"
"Dec 05, 2019","56.76","57.12","57.27","56.55","903.00K","0.21%"
"Dec 04, 2019","56.64","56.53","57.30","56.26","1.58M","0.87%"
"Dec 03, 2019","56.15","57.27","57.55","55.71","1.96M","-4.15%"
"Dec 02, 2019","58.58","59.37","59.70","58.51","1.09M","-0.80%"
