"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 28, 2020","19.35","18.79","19.38","18.72","5.75M","4.26%"
"Jan 27, 2020","18.56","18.56","18.81","18.24","5.22M","-3.03%"
"Jan 24, 2020","19.14","19.91","20.08","19.02","6.21M","-4.06%"
"Jan 23, 2020","19.95","19.80","20.06","19.21","3.84M","-0.40%"
"Jan 22, 2020","20.03","21.09","21.12","19.95","6.92M","-5.30%"
"Jan 21, 2020","21.15","21.62","21.66","21.14","3.65M","-3.29%"
"Jan 17, 2020","21.87","22.06","22.14","21.54","4.35M","-0.68%"
"Jan 16, 2020","22.02","21.57","22.19","21.49","5.90M","2.32%"
"Jan 15, 2020","21.52","21.09","21.78","21.06","2.69M","0.84%"
"Jan 14, 2020","21.34","21.10","21.60","21.03","4.66M","1.38%"
"Jan 13, 2020","21.05","20.70","21.18","20.40","4.01M","2.09%"
"Jan 10, 2020","20.62","21.07","21.15","20.49","2.98M","-2.27%"
"Jan 09, 2020","21.10","21.13","21.31","20.75","2.76M","-0.05%"
"Jan 08, 2020","21.11","20.93","21.23","20.80","3.84M","0.91%"
"Jan 07, 2020","20.92","20.74","21.08","20.59","4.63M","0.77%"
"Jan 06, 2020","20.76","20.62","20.96","20.36","4.13M","0.00%"
"Jan 03, 2020","20.76","21.24","21.49","20.74","4.11M","-3.13%"
"Jan 02, 2020","21.43","21.92","22.15","21.26","4.16M","-0.97%"
"Dec 31, 2019","21.64","21.03","21.67","21.00","2.51M","2.90%"
"Dec 30, 2019","21.03","21.31","21.33","20.97","2.76M","-0.90%"
"Dec 27, 2019","21.22","21.72","21.80","21.16","2.17M","-2.03%"
"Dec 26, 2019","21.66","21.50","21.71","21.40","2.46M","0.98%"
"Dec 24, 2019","21.45","21.54","21.78","21.35","1.92M","-0.42%"
"Dec 23, 2019","21.54","21.73","21.80","20.97","5.23M","-0.78%"
"Dec 20, 2019","21.71","20.85","21.74","20.61","12.63M","5.39%"
"Dec 19, 2019","20.60","20.60","21.14","20.38","5.66M","-1.25%"
"Dec 18, 2019","20.86","20.25","20.96","20.09","8.93M","3.52%"
"Dec 17, 2019","20.15","19.54","20.39","19.43","7.71M","3.44%"
"Dec 16, 2019","19.48","18.90","19.88","18.90","5.08M","4.56%"
"Dec 13, 2019","18.63","19.02","19.40","18.59","4.93M","-1.74%"
"Dec 12, 2019","18.96","18.08","19.00","17.66","5.31M","4.06%"
"Dec 11, 2019","18.22","18.23","18.48","18.15","3.00M","-0.16%"
"Dec 10, 2019","18.25","18.68","18.71","18.23","3.29M","-2.61%"
"Dec 09, 2019","18.74","19.08","19.24","18.70","4.63M","-1.78%"
"Dec 06, 2019","19.08","18.68","19.18","18.68","3.91M","2.86%"
"Dec 05, 2019","18.55","18.55","18.83","18.45","3.05M","0.98%"
"Dec 04, 2019","18.37","18.63","18.89","18.37","4.37M","-0.33%"
"Dec 03, 2019","18.43","18.71","18.73","18.39","3.47M","-2.95%"
"Dec 02, 2019","18.99","19.23","19.45","18.98","4.57M","-0.31%"
